"Freq [GHz]","dB(S(1,1)) [] - eea='1.5mm'","dB(S(1,1)) [] - eea='2mm'","dB(S(1,1)) [] - eea='2.5mm'","dB(S(1,1)) [] - eea='3mm'","dB(S(1,1)) [] - eea='3.5mm'","dB(S(1,1)) [] - eea='4mm'"
2,-7.08096099728514,-6.86544055124344,-6.69566082708801,-6.58004997112685,-6.39839690291242,-6.22858244102313
2.1,-8.32499724697865,-8.045791271568,-7.82624039361809,-7.68160903322432,-7.45263826334597,-7.2409951611834
2.2,-9.77633877296915,-9.42355809712742,-9.13872018798467,-8.96087574067642,-8.67719960067425,-8.41673005730242
2.3,-11.4064701481736,-10.9688021142317,-10.6012406878437,-10.3880425681754,-10.0431375559273,-9.72677141236078
2.4,-13.1620646021471,-12.631127456558,-12.1646773296211,-11.9182999180891,-11.5098576350392,-11.1328510339542
2.5,-14.8878262734603,-14.2728822842433,-13.7002947061078,-13.4327805161837,-12.9700739205088,-12.5359419896119
2.6,-16.3119973475122,-15.6645406566712,-15.0013172756642,-14.7415439682246,-14.2547483489193,-13.7836069391079
2.7,-17.1265901711377,-16.5470694614359,-15.8460279245548,-15.6377610491276,-15.1801851867586,-14.7144231896609
2.8,-17.1914907580582,-16.7713846879183,-16.1096507946388,-15.98849206601,-15.6163687854018,-15.2110565677747
2.9,-16.6788523629295,-16.4326893081913,-15.864887129881,-15.8336203385054,-15.5729466315739,-15.2678498027339
3,-15.9051606938702,-15.7905715895118,-15.3280093957433,-15.3633361805896,-15.2048472749466,-15.0063887394085
3.1,-15.0839649166014,-15.0512756919749,-14.6832268666764,-14.7566407990169,-14.6779829746592,-14.5684288917387
3.2,-14.258550103002,-14.2702476581023,-13.9862268762905,-14.0754769550041,-14.0565960837017,-14.0137078805571
3.3,-13.4524738738718,-13.4875849824036,-13.2821770897102,-13.3777605897275,-13.4041914303168,-13.4164306571905
3.4,-12.8384705686773,-12.8905828915204,-12.7606461400961,-12.8663812696239,-12.9307043866815,-12.9996733800145
3.5,-12.6609172722493,-12.7297726098757,-12.6733109442538,-12.7992492327845,-12.9005169813132,-13.034181667652
3.6,-13.0236082791893,-13.1079920550693,-13.1200678933281,-13.2763783444033,-13.4152047865463,-13.6232794801353
3.7,-13.7971887379752,-13.8923480123998,-13.9566216168309,-14.1519446987857,-14.3230281656869,-14.6158824915991
3.8,-14.7748566651287,-14.871509122963,-14.9570375129066,-15.1981693711007,-15.3868369945214,-15.7743541303058
3.9,-15.8887787659423,-15.9721314259087,-16.0392726736007,-16.3309507718534,-16.5194000307995,-17.0058222868821
4,-17.2896928670559,-17.3370971593685,-17.3406899003895,-17.6844225937529,-17.8527632502627,-18.4055019777086
4.1,-19.144450587489,-19.1249963231708,-18.9760366968493,-19.3137440760006,-19.39135981669,-19.6436498705689
4.2,-19.1758382449689,-19.1588766798757,-18.738349384577,-18.7110865492021,-18.5570969478282,-17.5956017924911
4.3,-14.4163323661356,-14.4508504618327,-14.0545012041993,-13.8145577227622,-13.6407672143084,-12.5241092873955
4.4,-10.1741538652874,-10.1463704194139,-9.80620750383529,-9.58702881785474,-9.43206045427284,-8.65484842031372
4.5,-7.85556491734142,-7.76654382948686,-7.45061931012721,-7.26865314058504,-7.11098241412248,-6.59726113388843
4.6,-6.8141158729558,-6.69083791724519,-6.39063791964518,-6.24858838912267,-6.08177667846165,-5.72385295325347
4.7,-6.58838700082578,-6.444386215696,-6.15312763023255,-6.05501639540321,-5.8731453292709,-5.61260695846134
4.8,-6.89655235507355,-6.74612543633969,-6.45867061022574,-6.39562836327944,-6.20785781523135,-6.00269161954608
4.9,-7.31847465123715,-7.16932250007665,-6.87831068774638,-6.83071588059701,-6.64729854949823,-6.45902253438208
5,-7.54859443575525,-7.38925697990098,-7.09487926942161,-7.04765196702772,-6.8642247131981,-6.67719400941249
